login,org
idd-esousa,ps-web-channel;ps-customer
iddldionizio,ps-web-channel;developer-productivity
lorsilva-fe,ps-web-channel;pagseguro-core
PsEmailTemplate,ps-web-channel
Raphael-de-Faria,ps-web-channel;ps-customer
tqi-clopes,ps-web-channel;pagseguro-core
Adolfo-Pira,ps-acquirer
agiovaninipagseguro,ps-acquirer;ps-psp
anaurias,ps-acquirer;ps-psp
andrelcmoreira,ps-acquirer
andrevieirabr,ps-acquirer
aparecidosteixeira,ps-acquirer;ps-psp
aspineli,ps-acquirer;ps-customer;ps-psp
bronzelle-pagseguro,ps-acquirer
brunoluzardi,ps-acquirer;ps-psp;pagseguro-core
ccaparroz,ps-acquirer
Clarinalee,ps-acquirer;ps-customer;ps-psp
csazevedo-boac,ps-acquirer;ps-customer;ps-psp
ctl-rcoimbra,ps-acquirer;ps-customer;pagseguro-core
DaniloTerra,ps-acquirer;ps-psp
dfelix82,ps-acquirer;ps-psp;pagseguro-core
dpassarellas,ps-acquirer;ps-customer;ps-psp
elemospags,ps-acquirer
eluppi,ps-acquirer
exsousa,ps-acquirer;ps-psp;pagseguro-core
fabiomadruga,ps-acquirer;pagseguro-core
falsantos,ps-acquirer;ps-psp;pagseguro-core
fcoutinho-uolinc,ps-acquirer;ps-customer;ps-psp
felipefug,ps-acquirer;ps-psp
fvdacesar,ps-acquirer
Gabasco,ps-acquirer
GilbertoPags,ps-acquirer
gkonishi,ps-acquirer;ps-customer
gpdrsilva,ps-acquirer
guastallaigor,ps-acquirer;ps-customer;ps-psp
gvaldevieso,ps-acquirer;ps-customer;ps-psp
idd-csardi,ps-acquirer;ps-psp
iddrguimaraes,ps-acquirer
jamilla-hs,ps-acquirer;ps-customer;pagseguro-core
jbailao,ps-acquirer
jfalcao99,ps-acquirer
kimcavalcanti,ps-acquirer;pagseguro-core
lucasassuncao,ps-acquirer;ps-customer
lumachado,ps-acquirer;ps-psp
marcelo-sigueoka-pagseguro,ps-acquirer
marpriori,ps-acquirer;ps-customer;ps-psp
martin-uolinc,ps-acquirer
mateusbalconi,ps-acquirer;ps-customer;ps-psp
matheusaguiardevuol,ps-acquirer
moniqueesteves,ps-acquirer;developer-productivity
msarmento-uol,ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
mykubota,ps-acquirer;ps-psp
